Name,Data.Carbohydrate,Data.Protein,Data.Fat.Total Lipid
"Infant formula, NS as to form (Similac Expert Care NeoSure)",7.22,2.01,3.95
"Infant formula, ready-to-feed (Similac Expert Care NeoSure)",7.22,2.01,3.95
"Infant formula, powder, made with water, NFS (Similac Expert Care NeoSure)",7.22,2.01,3.95
"Infant formula, powder, made with tap water (Similac Expert Care NeoSure)",7.22,2.01,3.95
"Infant formula, powder, made with plain bottled water (Similac Expert Care NeoSure)",7.22,2.01,3.95
"Infant formula, powder, made with baby water (Similac Expert Care NeoSure)",7.22,2.01,3.95
"Infant formula, NS as to form (Similac Go and Grow)",6.73,1.98,3.56
"Infant formula, powder, made with water, NFS (Similac Go and Grow)",6.73,1.98,3.56
"Infant formula, NS as to form (Enfamil Newborn)",7.39,1.38,3.48
"Infant formula, ready-to-feed (Enfamil Newborn)",7.39,1.38,3.48
"Infant formula, powder, made with water, NFS (Enfamil Newborn)",7.39,1.38,3.48
"Infant formula, powder, made with tap water (Enfamil Newborn)",7.39,1.38,3.48
"Infant formula, powder, made with plain bottled water (Enfamil Newborn)",7.39,1.38,3.48
"Infant formula, powder, made with baby water (Enfamil Newborn)",7.39,1.38,3.48
"Infant formula, NS as to form (Enfamil Infant)",7.38,1.4,3.49
"Infant formula, ready-to-feed (Enfamil Infant)",7.38,1.4,3.49
"Infant formula, liquid concentrate, made with water, NFS (Enfamil Infant)",7.38,1.4,3.49
"Infant formula, liquid concentrate, made with tap water (Enfamil Infant)",7.38,1.4,3.49
"Infant formula, liquid concentrate, made with plain bottled water (Enfamil Infant)",7.38,1.4,3.49
"Infant formula, liquid concentrate, made with baby water (Enfamil Infant)",7.38,1.4,3.49
"Infant formula, powder, made with water, NFS (Enfamil Infant)",7.38,1.4,3.49
"Infant formula, powder, made with tap water (Enfamil Infant)",7.38,1.4,3.49
"Infant formula, powder, made with plain bottled water (Enfamil Infant)",7.38,1.4,3.49
"Infant formula, powder, made with baby water (Enfamil Infant)",7.38,1.4,3.49
"Infant formula, NS as to form (Enfamil A.R.)",7.43,1.6,3.24
"Infant formula, ready-to-feed (Enfamil A.R.)",7.43,1.6,3.24
"Infant formula, powder, made with water, NFS (Enfamil A.R.)",7.43,1.6,3.24
"Infant formula, powder, made with tap water (Enfamil A.R.)",7.43,1.6,3.24
"Infant formula, NS as to form (Enfamil EnfaCare)",7.4,2.0,3.8
"Infant formula, ready-to-feed (Enfamil EnfaCare)",7.4,2.0,3.8
"Infant formula, powder, made with water, NFS (Enfamil EnfaCare)",7.4,2.0,3.8
"Infant formula, powder, made with plain bottled water (Enfamil A.R.)",7.43,1.6,3.24
"Infant formula, powder, made with baby water (Enfamil A.R.)",7.43,1.6,3.24
"Infant formula, NS as to form (Enfamil Gentlease)",7.25,1.53,3.49
"Infant formula, ready-to-feed (Enfamil Gentlease)",7.25,1.53,3.49
"Infant formula, powder, made with water, NFS (Enfamil Gentlease)",7.25,1.53,3.49
"Infant formula, powder, made with tap water (Enfamil EnfaCare)",7.4,2.0,3.8
"Infant formula, powder, made with plain bottled water (Enfamil EnfaCare)",7.4,2.0,3.8
"Infant formula, powder, made with baby water (Enfamil EnfaCare)",7.4,2.0,3.8
"Infant formula, powder, made with tap water (Enfamil Gentlease)",7.25,1.53,3.49
"Infant formula, powder, made with plain bottled water (Enfamil Gentlease)",7.25,1.53,3.49
"Infant formula, powder, made with baby water (Enfamil Gentlease)",7.25,1.53,3.49
"Infant formula, NS as to form (Enfamil Enfagrow Toddler Transitions)",7.4,1.72,3.55
"Infant formula, ready-to-feed (Enfamil Enfragrow Toddler Transitions)",7.4,1.72,3.55
"Infant formula, powder, made with water, NFS (Enfamil Enfragrow Toddler Transitions)",13.06,3.03,6.27
"Infant formula, powder, made with tap water (Enfamil Enfagrow Toddler Transitions)",7.4,1.72,3.55
"Infant formula, powder, made with plain bottled water (Enfamil Enfagrow Toddler Transitions)",7.4,1.72,3.55
"Infant formula, powder, made with baby water (Enfamil Enfagrow Toddler Transitions)",7.4,1.72,3.55
