Name,Data.Carbohydrate,Data.Protein,Data.Fat.Total Lipid
"Cream, half and half, fat free",9.0,2.6,1.4
"Cream, heavy",2.84,2.84,36.08
"Cream, whipped",8.59,2.67,33.94
"Coffee creamer, NFS",11.38,1.0,9.97
"Coffee creamer, liquid",11.38,1.0,9.97
"Coffee creamer, liquid, flavored",35.07,0.69,13.5
"Coffee creamer, liquid, fat free",9.1,0.8,3.5
"Coffee creamer, liquid, fat free, flavored",31.72,0.6,2.7
"Coffee creamer, liquid, fat free, sugar free, flavored",9.1,0.8,3.5
"Coffee creamer, liquid, sugar free, flavored",9.1,0.8,3.5
"Coffee creamer, powder",59.29,2.48,32.92
"Coffee creamer, powder, flavored",75.42,0.68,21.47
"Coffee creamer, powder, fat free",73.4,1.9,15.7
"Coffee creamer,powder, fat free, flavored",73.4,1.9,15.7
"Coffee creamer,powder, sugar free, flavored",59.29,2.48,32.92
"Coffee creamer, soy, liquid",11.38,1.0,9.97
Whipped topping,23.05,1.25,25.31
"Whipped topping, fat free",23.6,3.0,13.1
"Whipped topping, sugar free",23.6,3.0,13.1
"Sour cream, regular",4.63,2.44,19.35
"Sour cream, light",7.1,3.5,10.6
"Sour cream, fat free",15.6,3.1,0.0
"Sour cream, imitation",6.63,2.4,19.52
"Dip, NFS",3.49,2.24,45.84
"Chipotle dip, regular",2.7,1.69,45.74
"Chipotle dip, light",13.2,1.82,15.15
"Dill dip, regular",3.12,1.92,45.78
"Dill dip, light",13.6,2.04,15.19
"Onion dip, regular",3.57,1.91,36.27
"Onion dip, light",11.88,2.0,12.34
"Ranch dip, regular",3.49,2.24,45.84
"Ranch dip, light",13.95,2.35,15.25
"Spinach dip, regular",3.1,2.11,36.33
"Spinach dip, light",11.42,2.2,12.39
"Vegetable dip, regular",3.12,1.92,45.78
"Vegetable dip, light",13.6,2.04,15.19
"Ice cream, NFS",26.36,3.57,11.3
"Ice cream, vanilla",23.6,3.5,11.0
"Ice cream, vanilla, with additional ingredients",30.51,3.67,11.76
"Ice cream, chocolate",28.2,3.8,11.0
"Ice cream, chocolate, with additional ingredients",34.39,3.93,11.76
"Ice cream, soft serve, vanilla",29.46,4.78,4.83
"Ice cream, soft serve, chocolate",25.7,5.0,7.19
"Gelato, vanilla",22.29,3.5,16.2
"Gelato, chocolate",19.78,4.72,16.98
"Ice cream bar, vanilla",37.12,2.11,25.26
"Ice cream bar, vanilla, chocolate coated",24.5,4.1,24.1
Ice cream candy bar,30.9,4.4,20.2
"Ice cream bar, chocolate",25.17,4.41,23.89
"Ice cream sandwich, vanilla",35.88,4.28,11.8
"Ice cream sandwich, chocolate",39.33,4.5,11.8
Ice cream cookie sandwich,43.35,4.61,14.11
"Ice cream cone, scooped, vanilla",25.82,3.68,10.84
"Ice cream cone, scooped, vanilla, waffle cone",27.16,3.76,10.58
"Ice cream cone, NFS",28.47,3.75,11.13
"Ice cream cone, scooped, chocolate",30.23,3.97,10.84
"Ice cream cone, scooped, chocolate, waffle cone",31.49,4.04,10.58
"Ice cream cone, soft serve, vanilla",31.44,4.91,4.91
"Ice cream cone, soft serve, chocolate",27.83,5.12,7.18
"Ice cream cone, soft serve, vanilla, waffle cone",32.67,4.96,4.77
"Ice cream cone, soft serve, chocolate, waffle cone",29.14,5.17,6.99
"Ice cream cone, vanilla, prepackaged",34.38,5.21,21.88
"Ice cream cone, chocolate, prepackaged",34.62,5.35,21.8
"Ice cream soda, flavors other than chocolate",14.02,0.92,2.9
"Ice cream soda, chocolate",15.23,1.0,2.9
"Ice cream sundae, NFS",31.92,3.72,11.17
"Ice cream sundae, fruit topping",32.67,2.74,9.22
Banana split,32.53,2.53,6.9
"Ice cream sundae, hot fudge topping",31.92,3.72,11.17
"Ice cream sundae, caramel topping",30.61,2.97,9.19
"Ice cream, fried",32.77,3.94,15.16
"Light ice cream, NFS",25.44,4.38,6.14
"Light ice cream, vanilla",25.44,4.38,6.14
"Light ice cream, chocolate",26.24,4.27,6.46
"Soft serve, blended with candy or cookies, from fast food",26.18,4.0,6.06
"Light ice cream sandwich, vanilla",37.26,4.93,8.15
"Light ice cream sandwich, chocolate",37.86,4.85,8.4
"Light ice cream bar, vanilla",18.76,3.23,16.65
"Light ice cream bar, vanilla, chocolate coated",19.15,3.39,16.62
"Light ice cream bar, chocolate",19.74,3.31,16.86
Creamsicle,32.75,1.54,3.08
"Creamsicle, light",11.66,1.1,0.0
Fudgesicle,29.99,2.56,3.67
"Light ice cream cone, vanilla, prepackaged",34.23,5.41,7.3
"Light ice cream cone, chocolate, prepackaged",34.87,5.32,7.56
"Sherbet, all flavors",30.4,1.1,2.0
"Fudgesicle, light",23.11,3.67,1.87
"Pudding, chocolate, NFS",23.01,2.09,4.6
"Pudding, bread",23.52,5.63,4.71
"Pudding, flavors other than chocolate, NFS",22.6,1.45,3.78
Custard,10.96,5.11,3.43
Flan,28.18,5.27,4.83
Creme brulee,17.87,4.08,2.66
"Pudding, rice",18.39,3.23,2.15
"Firni, Indian pudding",25.17,3.58,3.1
"Pudding, tapioca, made from dry mix",21.69,1.95,3.88
"Pudding, flavors other than chocolate, made from dry mix",19.42,2.79,1.76
"Pudding, chocolate, made from dry mix",20.35,3.14,1.98
"Pudding, flavors other than chocolate, made from dry mix, sugar free",9.56,3.19,1.93
"Pudding, chocolate, made from dry mix, sugar free",10.51,3.49,2.02
"Pudding, flavors other than chocolate, ready-to-eat",22.6,1.45,3.78
"Pudding, flavors other than chocolate, ready-to-eat, sugar free",9.56,3.19,1.93
"Pudding, chocolate, ready-to-eat",23.01,2.09,4.6
"Pudding, chocolate, ready-to-eat, sugar free",10.51,3.49,2.02
"Pudding, tapioca, ready-to-eat",21.69,1.95,3.88
Banana pudding,27.94,2.68,4.23
Mousse,16.25,4.36,14.96
"Milk dessert or milk candy, Puerto Rican style",55.35,6.84,7.35
"Barfi or Burfi, Indian dessert",40.46,5.41,11.34
Trifle,23.24,3.53,7.1
Tiramisu,29.59,5.9,24.29
"Custard pudding, flavor other than chocolate, baby food, NS as to strained or junior",16.79,1.68,1.49
"Custard pudding, baby food, flavor other than chocolate, strained",16.0,1.6,2.0
"Custard pudding, baby food, flavor other than chocolate, junior",17.58,1.76,0.98
White sauce or gravy,9.19,3.81,9.96
"Cheese, NFS",5.0,20.42,29.62
"Cheese, Blue or Roquefort",2.34,21.4,28.74
"Cheese, Brick",2.79,23.24,29.68
"Cheese, Camembert",0.46,19.8,24.26
"Cheese, Brie",0.45,20.75,27.68
"Cheese, Cheddar",2.44,23.3,34.0
"Cheese, Cheddar, reduced fat",2.67,27.35,20.41
"Cheese, Cheddar, nonfat or fat free",7.14,32.14,0.0
"Cheese, Colby",2.57,23.76,32.11
"Cheese, Colby Jack",1.62,24.12,31.2
"Cheese, Feta",3.88,14.21,21.49
"Cheese, Fontina",1.55,25.6,31.14
"Cheese, goat",0.12,21.58,29.84
"Cheese, Gouda or Edam",2.22,24.94,27.44
"Cheese, Gruyere",0.36,29.81,32.34
"Cheese, Limburger",0.49,20.05,27.25
"Cheese, Monterey",0.68,24.48,30.28
"Cheese, Monterey, reduced fat",0.7,28.2,21.6
"Cheese, Mozzarella, NFS",4.44,23.7,20.4
"Cheese, Mozzarella, part skim",4.44,23.7,20.4
"Cheese, Mozzarella, reduced sodium",3.1,27.5,17.1
"Cheese, Mozzarella, nonfat or fat free",3.5,31.7,0.0
"Cheese, Muenster",1.12,23.41,30.04
"Cheese, Muenster, reduced fat",3.5,24.7,17.6
"Cheese, Parmesan, dry grated",12.4,29.6,28.0
"Cheese, Parmesan, dry grated, reduced fat",26.2,34.8,16.5
"Cheese, Parmesan, hard",12.4,29.6,28.0
"Cheese, Parmesan, dry grated, fat free",40.0,40.0,5.0
"Cheese, Port du Salut",2.22,24.94,27.44
"Cheese, Provolone",2.14,25.58,26.62
"Cheese, provolone, reduced fat",3.5,24.7,17.6
"Cheese, Swiss",1.44,27.0,31.0
"Cheese, Swiss, reduced sodium",3.4,28.4,27.4
"Cheese, Swiss, reduced fat",3.4,28.4,5.1
"Cheese, Swiss, nonfat or fat free",3.4,28.4,0.0
"Cheese, Cheddar, reduced sodium",1.91,24.35,32.62
"Cheese, Mexican blend",1.75,23.54,28.51
"Cheese, Mexican blend, reduced fat",3.41,24.69,19.4
"Queso Anejo, aged Mexican cheese",4.63,21.44,29.98
Queso Asadero,2.87,22.6,28.26
Queso Fresco,2.98,18.09,23.82
Queso cotija,3.97,20.0,30.0
"Cheese, cottage, NFS",4.31,11.0,2.3
"Cheese, cottage, creamed, large or small curd",3.38,11.12,4.3
"Cottage cheese, farmer's",3.18,10.49,9.8
"Cheese, Ricotta",6.0,9.6,9.46
"Cheese, cottage, with fruit",4.94,9.41,1.96
"Cheese, cottage, with vegetables",5.63,9.78,1.98
"Cheese, cottage, dry curd",6.66,10.34,0.29
"Cheese, cottage, salted, dry curd",6.59,10.24,0.29
Puerto Rican white cheese,2.98,18.09,23.82
"Cheese, cottage, low fat",4.31,11.0,2.3
"Cheese, cottage, lowfat, with fruit",9.99,7.32,1.54
"Cheese, cottage, lowfat, low sodium",2.7,12.4,1.0
"Cheese, cottage, lowfat, lactose reduced",4.31,11.0,2.3
"Cream cheese, regular, plain",5.52,6.15,34.44
"Cream cheese, regular, flavored",16.39,7.11,13.87
"Cream cheese, light",8.13,7.85,15.28
"Cheese, American and Swiss blends",5.27,18.0,30.6
"Cheese, American",8.85,16.09,23.06
"Cheese, American, reduced fat",10.6,17.6,14.1
"Cheese, American, nonfat or fat free",10.53,21.05,0.0
"Cheese, American, reduced sodium",1.6,22.2,31.19
"Cheese spread, American or Cheddar cheese base, reduced fat",10.71,13.41,8.88
"Cream cheese spread, fat free",7.66,15.69,1.0
"Cheese, processed cheese food",8.85,16.09,23.06
"Cheese, processed, with vegetables",3.91,14.3,32.13
"Cheese,  with wine",8.85,16.09,23.06
"Cheese spread, American or Cheddar cheese base",8.73,16.41,21.23
"Cheese spread, Swiss cheese base",8.73,16.41,21.23
"Cheese spread, cream cheese, regular",3.5,7.1,28.6
"Cheese spread, cream cheese, light",8.13,7.85,15.28
"Cheese spread, pressurized can",8.73,16.41,21.23
Imitation cheese,1.0,25.0,32.0
"Cheese, cottage cheese, with gelatin dessert",8.37,6.55,2.32
"Cheese, cottage cheese, with gelatin dessert and fruit",9.41,5.11,1.77
"Cheese, cottage cheese, with gelatin dessert and vegetables",6.27,7.71,2.85
Cheese ball,5.57,18.09,38.06
Artichoke dip,5.47,3.65,33.12
Spinach and artichoke dip,4.76,4.0,33.21
Seafood dip,3.89,5.97,33.25
Cheese dip with chili pepper,11.14,3.14,9.51
Cheese dip,7.66,3.24,13.02
Topping from cheese pizza,7.62,16.86,14.67
Topping from vegetable pizza,12.18,15.59,15.61
Topping from meat pizza,5.65,19.19,24.52
Topping from meat and vegetable pizza,7.66,17.55,22.03
Cheese fondue,1.93,19.31,21.2
Cheese souffle,6.29,9.45,15.7
Welsh rarebit,6.33,7.49,12.12
"Cheese sandwich, NFS",32.58,12.17,11.61
"Cheese sandwich, American cheese, on white bread, no spread",32.58,12.17,11.61
"Cheese sandwich, American cheese, on wheat bread, no spread",30.36,13.33,11.83
"Cheese sandwich, American cheese, on whole wheat bread, no spread",30.36,13.33,11.83
"Cheese sandwich, Cheddar cheese, on white bread, no spread",29.95,15.14,16.11
"Cheese sandwich, Cheddar cheese, on wheat bread, no spread",27.72,16.3,16.34
"Cheese sandwich, Cheddar cheese, on whole wheat bread, no spread",27.72,16.3,16.34
"Cheese sandwich, reduced fat American cheese, on white bread, no spread",33.31,12.79,7.92
"Cheese sandwich, reduced fat American cheese, on wheat bread, no spread",31.08,13.95,8.14
"Cheese sandwich, reduced fat American cheese, on whole wheat bread, no spread",31.08,13.95,8.14
"Cheese sandwich, reduced fat Cheddar cheese, on white bread, no spread",30.04,16.81,10.52
"Cheese sandwich, reduced fat Cheddar cheese, on wheat bread, no spread",27.82,17.97,10.74
"Cheese sandwich, reduced fat Cheddar cheese, on whole wheat bread, no spread",27.82,17.97,10.74
"Cheese sandwich, American cheese, on white bread, with mayonnaise",28.72,10.82,19.24
"Cheese sandwich, American cheese, on wheat bread, with mayonnaise",26.77,11.84,19.44
"Cheese sandwich, American cheese, on whole wheat bread, with mayonnaise",26.77,11.84,19.44
"Cheese sandwich, Cheddar cheese, on white bread, with mayonnaise",26.4,13.43,23.2
"Cheese sandwich, Cheddar cheese, on wheat bread, with mayonnaise",24.45,14.45,23.4
"Cheese sandwich, Cheddar cheese, on whole wheat bread, with mayonnaise",24.45,14.45,23.4
"Cheese sandwich, reduced fat American cheese, on white bread, with mayonnaise",29.36,11.37,16.0
"Cheese sandwich, reduced fat American cheese,, on wheat bread, with mayonnaise",27.4,12.38,16.2
"Cheese sandwich, reduced fat American cheese, on whole wheat bread, with mayonnaise",27.4,12.38,16.2
"Cheese sandwich, reduced fat Cheddar cheese, on white bread, with mayonnaise",26.48,14.9,18.28
"Cheese sandwich, reduced fat Cheddar cheese, on wheat bread, with mayonnaise",24.53,15.92,18.48
"Cheese sandwich, reduced fat Cheddar cheese, on whole wheat bread, with mayonnaise",24.53,15.92,18.48
"Cheese sandwich, American cheese, on white bread, with butter",28.7,10.77,19.22
"Cheese sandwich, American cheese, on wheat bread, with butter",26.74,11.79,19.42
"Cheese sandwich, American cheese, on whole wheat bread, with butter",26.74,11.79,19.42
"Cheese sandwich, Cheddar cheese, on white bread, with butter",26.38,13.38,23.18
"Cheese sandwich, Cheddar cheese, on wheat bread, with butter",24.42,14.4,23.38
"Cheese sandwich, Cheddar cheese, on whole wheat bread, with butter",24.42,14.4,23.38
"Cheese sandwich, reduced fat American cheese, on white bread, with butter",29.33,11.32,15.98
"Cheese sandwich, reduced fat American cheese, on wheat bread, with butter",27.38,12.34,16.18
"Cheese sandwich, reduced fat American cheese, on whole wheat bread, with butter",27.38,12.34,16.18
"Cheese sandwich, reduced fat Cheddar cheese, on white bread, with butter",26.46,14.85,18.26
"Cheese sandwich, reduced fat Cheddar cheese, on wheat bread, with butter",24.5,15.87,18.46
"Cheese sandwich, reduced fat Cheddar cheese, on whole wheat bread, with butter",24.5,15.87,18.46
"Grilled cheese sandwich, NFS",28.7,10.77,19.22
"Grilled cheese sandwich, American cheese, on white bread",28.7,10.77,19.22
"Grilled cheese sandwich, American cheese, on wheat bread",26.74,11.79,19.42
"Grilled cheese sandwich, American cheese, on whole wheat bread",26.74,11.79,19.42
"Grilled cheese sandwich, Cheddar cheese, on white bread",26.38,13.38,23.18
"Grilled cheese sandwich, Cheddar cheese, on wheat bread",24.42,14.4,23.38
"Grilled cheese sandwich, Cheddar cheese, on whole wheat bread",24.42,14.4,23.38
"Grilled cheese sandwich, reduced fat American cheese, on white bread",29.33,11.32,15.98
"Grilled cheese sandwich, reduced fat American cheese, on wheat bread",27.38,12.34,16.18
"Grilled cheese sandwich, reduced fat American cheese, on whole wheat bread",27.38,12.34,16.18
"Grilled cheese sandwich, reduced fat Cheddar cheese, on white bread",26.46,14.85,18.26
"Grilled cheese sandwich, reduced fat Cheddar cheese, on wheat bread",24.5,15.87,18.46
"Grilled cheese sandwich, reduced fat Cheddar cheese, on whole wheat bread",24.5,15.87,18.46
Cheese sauce,7.66,3.24,13.02
Alfredo sauce,1.48,2.37,15.12
Alfredo sauce with added vegetables,2.32,2.28,11.64
Alfredo sauce with meat,1.2,6.72,15.44
Alfredo sauce with meat and added vegetables,1.88,6.64,12.61
Alfredo sauce with poultry,1.2,7.1,13.59
Alfredo sauce with poultry and added vegetables,1.88,7.03,10.76
Alfredo sauce with seafood,1.76,6.11,12.56
Alfredo sauce with seafood and added vegetables,2.43,6.04,9.74
"Mozzarella sticks, breaded, baked, or fried",25.14,14.75,18.33
"Mozzarella cheese, tomato, and basil, with oil and vinegar dressing",3.86,7.17,10.87
"Cheddar cheese soup, home recipe, canned or ready-to-serve",8.12,2.06,2.97
"Beer cheese soup, made with milk",6.52,6.19,15.43
"Meat, NFS",0.0,29.65,8.3
"Meat, baby food, NS as to type, NS as to strained or junior",1.26,12.86,5.21
"Meat sticks, baby food, NS as to type of meat",1.1,13.4,14.6
"Ground meat, NFS",0.0,25.54,16.82
"Beef, NS as to cut, cooked, NS as to fat eaten",0.0,29.23,6.75
"Beef, NS as to cut, cooked, lean and fat eaten",0.0,27.06,13.44
"Beef, NS as to cut, cooked, lean only eaten",0.0,29.23,6.75
"Steak, NS as to type of meat, cooked, NS as to fat eaten",0.0,29.23,6.75
"Steak, NS as to type of meat, cooked, lean and fat eaten",0.0,27.06,13.44
"Steak, NS as to type of meat, cooked, lean only eaten",0.0,29.23,6.75
"Beef, pickled",0.47,18.17,18.98
"Beef, NS as to cut, fried, NS to fat eaten",0.0,29.23,6.75
"Beef steak, NS as to cooking method, NS as to fat eaten",0.0,29.23,6.75
"Beef steak, NS as to cooking method, lean and fat eaten",0.0,27.06,13.44
"Beef steak, NS as to cooking method, lean only eaten",0.0,29.23,6.75
"Beef steak, broiled or baked, NS as to fat eaten",0.0,29.23,6.75
"Beef steak, broiled or baked, lean and fat eaten",0.0,27.06,13.44
"Beef steak, broiled or baked, lean only eaten",0.0,29.23,6.75
"Beef steak, fried, NS as to fat eaten",0.0,29.23,6.75
"Beef steak, fried, lean and fat eaten",0.0,27.06,13.44
"Beef steak, fried, lean only eaten",0.0,29.23,6.75
"Beef steak, breaded or floured, baked or fried, NS as to fat eaten",12.16,25.02,11.03
"Beef steak, breaded or floured, baked or fried, lean and fat eaten",12.16,24.39,13.48
"Beef steak, breaded or floured, baked or fried, lean only eaten",12.16,25.02,11.03
"Beef steak, battered, fried, NS as to fat eaten",9.96,21.2,11.79
"Beef steak, battered, fried, lean and fat eaten",11.02,19.86,14.2
"Beef steak, battered, fried, lean only eaten",11.02,20.34,12.28
"Beef steak, braised, NS as to fat eaten",0.0,30.8,13.19
"Beef steak, braised, lean and fat eaten",0.0,30.8,13.19
"Beef steak, braised, lean only eaten",0.0,28.94,5.34
"Beef, oxtails, cooked",0.0,30.8,13.19
"Beef, neck bones, cooked",0.0,29.87,19.06
"Beef, shortribs, cooked, NS as to fat eaten",0.0,30.5,17.98
"Beef, shortribs, cooked, lean and fat eaten",0.0,21.39,41.63
"Beef, shortribs, cooked, lean only eaten",0.0,30.5,17.98
"Beef, shortribs, barbecued, with sauce, NS as to fat eaten",12.74,15.98,30.81
"Beef, shortribs, barbecued, with sauce, lean and fat eaten",12.74,15.98,30.81
"Beef, shortribs, barbecued, with sauce, lean only eaten",12.74,22.68,13.42
"Beef, cow head, cooked",0.0,25.89,16.45
"Beef, roast, roasted, NS as to fat eaten",0.0,28.57,4.94
"Beef, roast, roasted, lean and fat eaten",0.0,29.65,4.45
"Beef, roast, roasted, lean only eaten",0.0,29.13,3.71
"Beef, roast, canned",0.0,27.45,11.34
"Beef, pot roast, braised or boiled, NS as to fat eaten",0.0,30.8,13.19
"Beef, pot roast, braised or boiled, lean and fat eaten",0.0,29.09,4.34
"Beef, pot roast, braised or boiled, lean only eaten",0.0,30.8,13.19
"Beef, stew meat, cooked, NS as to fat eaten",0.0,30.8,13.19
"Beef, stew meat, cooked, lean and fat eaten",0.0,34.05,10.05
"Beef, stew meat, cooked, lean only eaten",0.0,30.8,13.19
"Corned beef, cooked, NS as to fat eaten",0.47,18.17,18.98
"Corned beef, cooked, lean and fat eaten",0.47,18.17,18.98
"Corned beef, cooked, lean only eaten",0.0,27.1,14.93
"Corned beef, canned, ready-to-eat",0.0,27.1,14.93
"Beef brisket, cooked, NS as to fat eaten",0.0,29.5,10.0
"Beef brisket, cooked, lean and fat eaten",0.0,26.57,19.36
"Beef brisket, cooked, lean only eaten",0.0,29.5,10.0
"Beef, sandwich steak, flaked, formed, thinly sliced",0.0,18.41,27.81
"Ground beef, raw",0.0,17.44,19.07
"Ground beef, cooked",0.0,25.54,16.82
"Ground beef patty, cooked",0.0,25.45,18.18
"Beef, bacon, cooked",1.4,31.3,34.4
"Beef, bacon, reduced sodium, cooked",1.43,37.04,41.78
"Beef, dried, chipped, uncooked",2.76,31.1,1.94
"Beef, dried, chipped, cooked in fat",2.5,28.12,11.32
Beef jerky,11.0,33.2,25.6
"Beef, baby food, NS as to strained or junior",2.43,12.03,2.52
"Beef, baby food, strained",2.43,12.03,2.52
"Beef, baby food, junior",2.43,12.03,2.52
"Pork, NS as to cut, cooked, NS as to fat eaten",0.0,27.69,10.5
"Pork, NS as to cut, cooked, lean and fat eaten",0.0,27.69,10.5
